COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,f_f007228,1,1,4,1
1,f_f007234,8,1,3,1
1,f_f007260,7,2,3,1
1,f_f007508,8,1,3,1
1,f_f007571,5,1,4,1
1,f_f007878,8,1,3,1
1,f_f007889,7,2,4,1
1,f_f008076,8,2,4,1
1,f_f008079,8,2,3,1
1,f_f008113,8,1,3,1
1,f_f008176,7,1,3,1
3,f_f008176,7,1,3,1
2,f_f008176,7,1,3,1
4,f_f008176,7,1,3,1
2,f_f008182,7,1,3,1
4,f_f008182,7,1,3,1
1,f_f008182,7,1,3,1
3,f_f008182,7,1,3,1
5,f_f008182,7,1,3,3
1,f_f008259,8,2,3,1
1,f_f008379,1,1,6,1
2,f_f008380,11,1,4,1
1,f_f008380,2,2,4,1
3,f_f008380,11,2,1,1
1,f_f008418,8,2,3,3
2,f_f008427,5,2,4,1
1,f_f008427,3,2,6,1
3,f_f008427,5,2,4,1
1,f_f008558,1,1,4,1
3,f_f008558,2,1,1,1
2,f_f008558,2,2,1,1
1,f_f008567,1,2,4,1
3,f_f008567,2,1,1,1
2,f_f008567,2,2,1,1
1,f_f008608,1,1,6,1
2,f_f008814,7,2,3,1
4,f_f008814,7,2,3,1
1,f_f008814,8,2,4,1
3,f_f008814,7,2,3,1
5,f_f008814,7,2,3,1
2,f_f008862,2,1,1,1
1,f_f008862,1,2,4,1
1,f_f009188,1,2,4,1
3,f_f009188,2,2,1,1
2,f_f009188,2,2,1,1
1,f_f009201,8,1,3,1
1,f_f009255,8,1,3,3
1,f_f009257,8,1,3,1
1,f_f009311,5,2,3,1
1,f_f009462,8,1,3,1
1,f_f009530,8,1,4,1
2,f_f009562,2,2,1,1
1,f_f009562,1,1,5,1
2,f_f009750,2,1,1,1
1,f_f009750,1,1,4,1
1,f_f009828,8,1,4,1
1,f_f009968,1,2,4,1
1,f_f010067,8,1,3,1
1,f_f010099,7,2,3,1
1,f_f010302,3,1,6,1
2,f_f010302,3,2,6,1
4,f_f010337,7,2,3,1
1,f_f010337,7,2,3,3
3,f_f010337,7,2,3,1
2,f_f010337,7,2,3,1
1,f_f010443,8,1,3,1
1,f_f010522,1,2,5,1
2,f_f010522,2,1,1,1
1,f_f010564,8,1,3,1
1,f_f010778,7,2,3,1
1,f_f010784,7,1,3,1
3,f_f010784,7,2,3,1
2,f_f010784,7,2,3,1
1,f_f010785,8,2,3,1
1,f_f010914,8,2,3,1
1,f_f011221,8,2,3,1
1,f_f011268,8,2,3,1
1,f_f011303,8,1,3,1
3,f_f011303,7,2,3,3
2,f_f011303,7,1,3,3
1,f_f011314,7,2,3,1
1,f_f011719,1,2,7,1
1,f_f011863,1,1,4,2
1,f_f011949,2,2,1,1
2,f_f011949,2,2,1,1
1,f_f012113,7,2,4,1
3,f_f012113,7,2,4,1
2,f_f012113,7,2,4,1
1,f_f012140,11,2,1,1
1,f_f012204,8,1,3,1
1,f_f012222,7,1,3,1
3,f_f012222,7,1,3,1
5,f_f012222,7,1,3,1
2,f_f012222,7,1,3,1
4,f_f012222,7,1,3,1
1,f_f012225,8,2,3,1
1,f_f012426,7,2,3,1
1,f_f012595,8,1,4,1
1,f_f012624,8,1,3,1
1,f_f012649,1,1,5,1
1,f_f012755,8,2,3,1
1,f_f012957,5,2,3,1
1,f_f012976,7,2,3,1
1,f_f012987,1,2,4,1
2,f_f012987,2,1,1,1
1,f_f013057,7,1,3,1
3,f_f013057,7,1,3,1
2,f_f013057,7,1,3,1
1,f_f013167,8,2,4,1
1,f_f013422,8,1,3,1
1,f_f013460,7,1,4,3
2,f_f013460,7,2,3,3
3,f_f013942,7,2,3,3
5,f_f013942,7,2,3,3
2,f_f013942,7,1,3,3
4,f_f013942,7,2,3,3
1,f_f013942,7,1,3,3
1,f_f014097,7,2,3,1
3,f_f014104,2,2,2,1
2,f_f014104,2,2,2,1
4,f_f014104,2,2,1,1
1,f_f014104,1,2,5,1
1,f_f014131,10,2,6,1
2,f_f014131,10,2,7,1
1,f_f014134,7,2,3,1
1,f_f014140,2,2,2,1
1,f_f014170,8,1,3,1
1,f_f014175,7,1,3,2
2,f_f014175,7,1,3,2
3,f_f014452,11,1,1,1
2,f_f014452,7,2,4,1
1,f_f014452,2,2,1,1
1,f_f014901,3,2,6,1
1,f_f014972,8,2,3,1
2,f_f015247,3,2,5,1
1,f_f015247,3,1,6,1
1,f_f015250,1,1,4,1
3,f_f015250,2,2,1,1
2,f_f015250,2,1,1,1
1,f_f015285,8,2,3,1
1,f_f015319,1,1,4,1
2,f_f015319,2,2,1,1
