TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
f_f000384,2305200003,5,1,,,,,
f_f000384,2305200001,5,2,,,,,
f_f000384,2305200004,5,2,,,,,
f_f000384,2305190010,6,2,,바베큐;불멍 추가금,N,1,
f_f000429,2305190005,1,0,,리코타 치즈샐러드;이재모 크러스트;탄산음료,N,1,
f_f000429,2305190008,1,0,,살얼음 수제맥주;먹태구이;씨그램 라임,Y,1,
f_f000429,2305200004,1,0,,모듬회;소주,N,1,
f_f000429,2305200006,1,0,,커피;요구르트;과일쥬스,N,1,
f_f000429,2305210001,1,0,,커피;키위,Y,1,
f_f000429,2305210004,1,0,,돌솥제육볶음;돌솥매콤낙지,N,1,
f_f000429,2305200001,2,0,,캡슐액자,Y,1,
f_f000429,2305200002,2,0,,커피,Y,1,
f_f000429,2305190009,2,1,,숙박비 결제,Y,5,
f_f000429,2305210003,3,0,,요트탑승,Y,1,1
f_f000429,2305200001,3,1,,스카이캡슐탑승,Y,1,1
f_f000429,2305190006,4,0,,,,,
f_f000429,2305200003,4,0,,,,,
f_f000429,2305200007,4,0,,,,,
f_f000429,2305200008,4,0,,,,,
f_f000429,2305210002,4,0,,,,,
f_f000429,2305190005,4,1,,,,,
f_f000429,2305200005,4,1,,,,,
f_f000429,2305200001,4,2,,,Y,,
f_f000429,2305190007,5,0,,,,,
f_f000429,2305190009,5,0,,,,,
f_f000429,2305200009,5,0,,,,,
f_f000429,2305190006,5,1,,,,,
f_f000429,2305200007,5,1,,,,,
f_f000429,2305200005,5,2,,,,,
f_f000429,2305190002,7,0,,,,,
f_f000429,2305190003,7,0,,,,,
f_f000429,2305190004,7,0,,,,,
f_f000429,2305210005,7,0,,,,,
f_f000429,2305210006,7,0,,,,,
f_f000433,2306020002,1,0,,목살스테이크;새우필라프,N,1,
f_f000433,2306020003,1,0,,망고빙수,N,1,
f_f000433,2306030003,1,0,,초코라떼;카페라떼;생크림케익,N,1,
f_f000433,2306040001,1,0,,콘치즈닭갈비,N,1,
f_f000433,2306040003,1,0,,흑임자라떼;아이스티,N,1,
f_f000433,2306030001,1,1,,샤브샤브;칼국수;볶음밥,N,1,
f_f000433,2306030005,1,1,,햄버거 세트,N,1,
f_f000433,2306030004,2,0,,벨트;흰티,N,1,
f_f000433,2306030004,2,2,,화장품,N,1,
f_f000433,2306030004,2,3,,생활용품,N,1,
f_f000433,2306030004,2,4,,키링,N,1,
f_f000433,2306030002,3,0,,자연경관 감상;웰니스,N,5,2
f_f000433,2306040002,3,0,,등기산스카이워크 관람;갓바위 관람;출렁다리 체험,N,5,1
f_f000433,2306030002,4,1,,,,,
f_f000433,2306030004,4,1,,,,,
f_f000433,2306030006,4,1,,,,,
f_f000433,2306040002,4,1,,,,,
f_f000433,2306020003,5,1,,,,,
f_f000433,2306030001,5,2,,,,,
f_f000433,2306030002,5,2,,,,,
f_f000433,2306040002,5,2,,,,,
f_f000437,2305160004,1,0,,헛제사밥,Y,4,
f_f000437,2305160007,1,0,,커피와 케익 빵,N,1,
f_f000437,2305160010,1,0,,갈비,N,1,
f_f000437,2305170004,1,0,,간고등어 찜닭,Y,1,
f_f000437,2305170006,1,0,,선지국,N,1,
f_f000437,2305160003,3,0,,만휴정관람,N,5,2
f_f000437,2305160011,3,0,,문보트탑승,N,1,1
f_f000437,2305160008,4,0,,,,,
f_f000437,2305170002,4,0,,,,,
f_f000437,2305170003,4,0,,,,,
f_f000437,2305170005,4,0,,탈춤 구경,N,5,2
f_f000437,2305160003,4,1,,,,,
f_f000437,2305160005,4,1,,,,,
f_f000437,2305160006,4,1,,,,,
f_f000437,2305160002,5,0,,,,,
f_f000437,2305160009,5,0,,,,,
f_f000437,2305160006,5,2,,,,,
f_f000437,2305170007,7,0,,,,,
f_f000461,2306020002,1,0,,편의점 김밥;과자,N,1,
f_f000461,2306020005,1,0,,밀푀유나베;치킨;술,N,1,
f_f000461,2306030002,1,0,,아이스바닐라라떼,N,1,
f_f000461,2306030005,1,0,,라멘2개;음료수;만두,N,1,
f_f000461,2306030008,1,0,,소고기말이찜;술;짜파게티,N,1,
f_f000461,2306040002,1,0,,물냉면;비빔냉면,N,1,
f_f000461,2306020006,1,1,,탕후루,N,2,
f_f000461,2306030004,2,0,,엽서;작은소품,N,1,
f_f000461,2306030006,2,0,,물,N,1,
f_f000461,2306030007,2,0,,동전지갑,N,1,
f_f000461,2306040003,2,0,,문구류,N,1,
f_f000461,2306020002,2,1,,여행물품;옷,N,1,
f_f000461,2306030001,2,2,,물;음료수,Y,1,
f_f000461,2306030003,2,2,,아이쇼핑,N,5,
f_f000461,2306040003,2,2,,팔찌;기념자석;엽서,N,1,
f_f000461,2306040003,2,3,,음료수,N,1,
f_f000461,2306020006,3,0,,천마총;대릉원 등 유적 관람,N,5,2
f_f000461,2306020007,3,0,,첨성대 관람,N,5,2
f_f000461,2306030001,3,0,,아쿠아리움 관람,Y,1,2
f_f000461,2306030006,3,1,,해동 용궁사 관람,N,5,2
f_f000461,2306030007,3,1,,루지 체험,N,1,1
f_f000461,2306040001,4,0,,,,,
f_f000461,2306020007,4,1,,,,,
f_f000461,2306030003,4,1,,,,,
f_f000461,2306030009,4,1,,,,,
f_f000461,2306030006,4,2,,,,,
f_f000461,2306020010,5,0,,,,,
f_f000461,2306030009,5,0,,,,,
f_f000461,2306030010,5,0,,,,,
f_f000461,2306030002,5,1,,,,,
f_f000461,2306030008,5,1,,,,,
f_f000461,2306040001,5,1,,,,,
f_f000461,2306040003,5,1,,,,,
f_f000461,2306020002,5,6,,,,,
f_f000461,2306020003,7,0,,,,,
f_f000461,2306020004,7,0,,,,,
f_f000461,2306020008,7,0,,,,,
f_f000461,2306020009,7,0,,,,,
f_f000461,2306040004,7,0,,,,,
f_f000461,2306040005,7,0,,,,,
f_f000461,2306040007,7,0,,,,,
f_f000473,2305270003,1,0,,점심 공양(산채 비빔밥),N,4,
f_f000473,2305280001,1,0,,점심 공양,N,4,
f_f000473,2305280004,1,0,,삼겹살,Y,1,
f_f000473,2305280006,1,0,,닭목살 구이;소주;맥주,Y,1,
f_f000473,2305270002,2,0,,시계;가방;옷;등산화 아이쇼핑,Y,5,
f_f000473,2305290001,2,0,,삼겹살;목살,N,1,
