TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f000959,물놀이 기저귀,1,1,1303912388,아가천사,인천 중구 축항대로296번길 60-37,인천 중구 신흥동3가 42-45,4247392,2811012800,2023-05-18 11:32,1,2700,하기스 수영장 물놀이 팬티 아기 방수기저귀,
f_f000979,음료,1,4,4858700202,주식회사애플마트,서울 노원구 수락산로 220-1,서울 노원구 상계동 1037-2,3110006,1135010500,2023-05-26 12:43,1,14460,"CJ)한끼식탁고깃집된장찌개양념;풀무원)국물쌀떡볶이 2인;귀리우유;빙그레)따옴유기농주스(오렌지,브로콜리);빙그레)따옴유기농주스(사과,당근)",
f_f001226,의류,0,3,,젝시믹스,수원 롯데몰,,,,,1,61200,,4111313100
f_f001233,김밥,0,4,,김밥천국,김밥천국,,,,,3,20000,,4315012100
f_f001321,김밥,1,4,3083800950,순희네꼬마김밥배곧신도시점,경기 시흥시 배곧3로 86,경기 시흥시 배곧동 194-2,3350762,4139013500,2023-05-27 07:39,1,17000,중간팩(5개);참치꼬마김밥(5줄);스팸꼬마김밥(5줄),
f_f001408,사우나 티켓,1,2,1602600753,가야해수사우나&골프존파크,경남 김해시 김해대로2492번길 38,경남 김해시 삼정동 0,4829310,4825011700,2023-06-04 09:37,1,15000,입장권,
f_f001516,간식(감자튀김.아이스크림.꽈배기),1,4,1980602743,롯데리아,경북 칠곡군 왜관읍 중앙로 212,경북 칠곡군 왜관읍 왜관리 212-61,3303047,4785025021,2023-06-05 11:26,1,4900,소프트콘;포테이토,
f_f001516,간식(감자튀김.아이스크림.꽈배기),2,4,1078657147,스토리웨이,대구 동구 동대구로 550,,3007004,2714010100,2023-06-05 17:50,1,7200,설탕꽈배기;페스츄리꽈배기,
f_f001544,20인치 기내용 캐리어,0,1,,에스쿠다마,,,,,,3,35000,,1138010800
f_f001843,자동차 주유,0,2,,(주)자연에너지 신갈주유소,용구대로 2245,,,,,1,79000,,4146310100
f_f001901,고기; 닭꼬치; 떡볶이; 음료 등,0,2,,이마트 해운대점,,,,,,1,120000,,2635010700
f_f002444,무알콜맥주 과자  음료수  바나나우유,1,3,2228200339,근덕농협하나로마트,강원특별자치도 삼척시 근덕면 삼척로 3672,강원특별자치도 삼척시 근덕면 교가리 646-1,3224019,5123031024,2023-06-07 19:01,1,36840,청정수;롯데)칸쵸;오리온썬핫스파이시;롯데뻥소리;칭따오논알콜릭,
f_f002730,이삭토스트,1,1,4541600509,이삭토스트,대구 동구 동부로 149,대구 동구 신천동 1506,3142009,2714010200,2023-06-07 08:26,1,3100,,
f_f002755,커피와 디저트,0,2,,컴포즈커피 밀양시청점,1531-7,,,,,1,15000,,4827010200
f_f002762,주유,1,1,3858501213,대영주유소,부산 기장군 정관읍 정관로 249,부산 기장군 정관읍 모전리 17,3140047,2671025627,2023-06-03 13:20,1,54215,주유비,
f_f002860,얼음컵,1,1,2102265126,이마트24,서울 강북구 도봉로96길 5-11,,4124146,1130510200,2023-06-03 10:08,1,700,아임이)이프레쏘아이스컵,
f_f003783,소곱창; 대창. 야채. 과일. 삼각대,0,2,,홈마트,삼풍로 13-4,,,,,1,43500,,4729012700
f_f004760,물 과자 간식 물티슈,0,1,,CU,경인로382,,,,,1,13500,,1153010700
f_f005042,삼각대,1,1,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-07-26 11:30,1,63900,,
f_f005287,커피,0,2,,아인슈페너,카페봄봄,,,,,1,3300,,2717010300
f_f005444,스지수육 밀키트,1,1,3185800367,에이치에스밀푸드,부산 부산진구 동천로85번길 11,부산 부산진구 부전동 168-342,4187205,2623010300,2023-08-03 08:22,1,23900,햄지 사태스지수육 밀키트 한우육수 기승전골,
f_f005661,주유,1,1,5061030656,대동LPG,경북 포항시 남구 새천년대로 216,경북 포항시 남구 효자동 381,2303001,4711111400,2023-09-09 09:51,1,37388,주유비,
f_f005914,바베큐용 소고기(9만원); 데이트팝 어플 티켓팅(티켓팅에는 포토시즈; 퍼지네이블 각 1.8만원씩 총 3.6만원 사전구매),0,2,,언양축산,483-1  언양축산,,,,,1,126000,,3171025329
f_f006357,주유비 티켓비,1,3,8045900263,플레이스 씨,경북 경주시 국당2길 2,,4715142,4713010900,2023-08-16 13:19,1,31000,"로즈와일리전:Hullo,Again",
